,load_gw,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2016-04-04,6930.898809523809,9.985714285714286,5.457142857142857,13.842857142857143,8.014285714285714,0.0
2016-04-11,6793.875,9.542857142857143,5.3,13.428571428571429,8.457142857142857,0.0
2016-04-18,6759.976190476191,7.057142857142857,3.2142857142857144,11.12857142857143,10.942857142857143,0.0
2016-04-25,6999.291666666667,8.614285714285714,3.4285714285714284,13.299999999999999,9.385714285714286,0.0
2016-05-02,6451.994047619048,14.428571428571429,8.285714285714286,19.8,3.571428571428571,0.0
2016-05-09,6706.6547619047615,14.442857142857141,10.0,18.928571428571427,3.5571428571428587,0.0
2016-05-16,6412.910714285715,16.3,10.87142857142857,21.17142857142857,1.6999999999999993,0.0
2016-05-23,6224.083333333333,17.87142857142857,14.085714285714285,22.071428571428573,0.1285714285714299,0.0
2016-05-30,6622.928571428572,20.185714285714287,15.257142857142856,24.514285714285712,0.0,0.0
2016-06-06,6570.952380952381,17.62857142857143,13.057142857142859,21.842857142857145,0.3714285714285701,0.0
2016-06-13,6588.398809523809,16.614285714285717,12.557142857142859,20.428571428571427,1.3857142857142826,0.0
2016-06-20,6712.071428571428,21.942857142857143,16.17142857142857,26.8,0.0,0.0
2016-06-27,6638.035714285715,18.8,13.942857142857141,23.24285714285714,0.0,0.0
2016-07-04,6547.244047619048,19.714285714285715,15.271428571428572,24.2,0.0,0.0
2016-07-11,6647.083333333333,18.514285714285712,15.028571428571428,21.914285714285715,0.0,0.0
2016-07-18,6510.6547619047615,22.571428571428573,16.6,27.514285714285712,0.0,0.571428571428573
2016-07-25,6383.946428571428,20.957142857142856,17.271428571428572,24.87142857142857,0.0,0.0
2016-08-01,6205.684523809524,19.02857142857143,15.185714285714285,23.042857142857144,0.0,0.0
2016-08-08,6283.809523809524,17.214285714285715,13.87142857142857,20.771428571428572,0.7857142857142847,0.0
2016-08-15,6262.738095238095,18.228571428571428,13.1,23.17142857142857,0.0,0.0
2016-08-22,6565.952380952381,23.02857142857143,17.099999999999998,28.842857142857145,0.0,1.0285714285714285
